CustomerID,Age_Group,Gender,Income_Group
8202,Adult,Female,"Lower Middle Income"
8203,Adult,Male,"Upper Middle Income"
8204,Adult,Male,"Upper Middle Income"
8205,Adult,Male,"Low Income"
8206,Senior,Male,"Middle Income"
8207,Adult,Male,"Upper Middle Income"
8208,Adult,Female,"Low Income"
8209,Adult,Female,"Upper Middle Income"
8210,Adult,Female,"High Income"
8211,Adult,Female,"Low Income"
8212,Adult,Male,"Middle Income"
8213,Adult,Female,"Upper Middle Income"
8214,Adult,Male,"Low Income"
8215,Senior,Female,"High Income"
8216,Senior,Female,"Upper Middle Income"
8217,Senior,Female,"Upper Middle Income"
8218,Senior,Male,"Lower Middle Income"
8219,Adult,Female,"High Income"
8220,Adult,Female,"Middle Income"
8221,Youth,Male,"Lower Middle Income"
8222,Youth,Female,"High Income"
8223,Senior,Female,"Upper Middle Income"
8224,Adult,Female,"Middle Income"
8225,Senior,Male,"Middle Income"
8226,Adult,Male,"Upper Middle Income"
8227,Senior,Male,"Upper Middle Income"
8228,Youth,Male,"Middle Income"
8229,Youth,Male,"Upper Middle Income"
8230,Adult,Male,"Middle Income"
8231,Adult,Female,"Middle Income"
8232,Adult,Female,"High Income"
8233,Adult,Male,"Middle Income"
8234,Adult,Male,"Upper Middle Income"
8235,Youth,Female,"Upper Middle Income"
8236,Adult,Male,"Upper Middle Income"
8237,Youth,Female,"Upper Middle Income"
8238,Adult,Female,"Middle Income"
8239,Adult,Female,"Upper Middle Income"
8240,Adult,Female,"High Income"
8241,Youth,Female,"Middle Income"
8242,Adult,Female,"Middle Income"
8243,Youth,Male,"Middle Income"
8244,Adult,Female,"Lower Middle Income"
8245,Adult,Female,"Middle Income"
8246,Adult,Male,"Upper Middle Income"
8247,Adult,Male,"Upper Middle Income"
8248,Youth,Male,"Upper Middle Income"
8249,Senior,Female,"Lower Middle Income"
8250,Adult,Male,"High Income"
8251,Youth,Male,"Low Income"
8252,Adult,Male,"High Income"
8253,Adult,Female,"Upper Middle Income"
8254,Senior,Male,"Low Income"
8255,Adult,Female,"Upper Middle Income"
8256,Adult,Female,"Lower Middle Income"
8257,Adult,Female,"Upper Middle Income"
8258,Youth,Female,"High Income"
8259,Adult,Male,"Upper Middle Income"
8260,Adult,Male,"High Income"
8261,Youth,Female,"Upper Middle Income"
8262,Adult,Male,"High Income"
8263,Adult,Male,"Lower Middle Income"
8264,Adult,Female,"Upper Middle Income"
8265,Adult,Male,"Lower Middle Income"
8266,Youth,Female,"Upper Middle Income"
8267,Adult,Male,"High Income"
8268,Adult,Female,"Upper Middle Income"
8269,Adult,Female,"Upper Middle Income"
8270,Youth,Female,"Middle Income"
8271,Senior,Male,"Lower Middle Income"
8272,Adult,Female,"High Income"
8273,Adult,Female,"Middle Income"
8274,Adult,Female,"Middle Income"
8275,Adult,Male,"Upper Middle Income"
8276,Adult,Female,"High Income"
8277,Adult,Female,"Upper Middle Income"
8278,Youth,Female,"High Income"
8279,Adult,Female,"High Income"
8280,Adult,Male,"Upper Middle Income"
8281,Adult,Female,"Upper Middle Income"
8282,Senior,Female,"Upper Middle Income"
8283,Adult,Female,"High Income"
8284,Adult,Female,"Low Income"
8285,Adult,Female,"Lower Middle Income"
8286,Adult,Female,"Low Income"
8287,Adult,Male,"Upper Middle Income"
8288,Youth,Male,"High Income"
8289,Adult,Female,"Lower Middle Income"
8290,Adult,Female,"Middle Income"
8291,Senior,Male,"Middle Income"
8292,Senior,Male,"Lower Middle Income"
8293,Senior,Male,"Lower Middle Income"
8294,Youth,Female,"Upper Middle Income"
8295,Youth,Male,"High Income"
8296,Senior,Female,"High Income"
8297,Adult,Female,"High Income"
8298,Youth,Female,"Middle Income"
8299,Adult,Female,"High Income"
8300,Adult,Female,"Middle Income"
8301,Adult,Male,"Upper Middle Income"
8302,Adult,Female,"Middle Income"
8303,Adult,Female,"Low Income"
8304,Adult,Female,"Upper Middle Income"
8305,Senior,Male,"Middle Income"
8306,Adult,Male,"Upper Middle Income"
8307,Youth,Male,"Middle Income"
8308,Adult,Male,"Middle Income"
8309,Adult,Female,"Upper Middle Income"
8310,Adult,Male,"Upper Middle Income"
8311,Adult,Female,"Middle Income"
8312,Senior,Male,"Lower Middle Income"
8313,Adult,Male,"Lower Middle Income"
8314,Senior,Female,"High Income"
8315,Adult,Male,"High Income"
8316,Adult,Male,"Upper Middle Income"
8317,Adult,Female,"Lower Middle Income"
8318,Adult,Female,"Upper Middle Income"
8319,Adult,Male,"High Income"
8320,Adult,Female,"Middle Income"
8321,Senior,Female,"Upper Middle Income"
8322,Adult,Female,"Upper Middle Income"
8323,Adult,Male,"Middle Income"
8324,Adult,Male,"Low Income"
8325,Adult,Male,"High Income"
8326,Adult,Male,"Upper Middle Income"
8327,Adult,Female,"Lower Middle Income"
8328,Adult,Female,"Middle Income"
8329,Youth,Female,"Upper Middle Income"
8330,Adult,Male,"Lower Middle Income"
8331,Adult,Female,"High Income"
8332,Adult,Male,"High Income"
8333,Adult,Female,"Middle Income"
8334,Adult,Female,"Lower Middle Income"
8335,Youth,Female,"Middle Income"
8336,Adult,Female,"Upper Middle Income"
8337,Adult,Male,"Low Income"
8338,Adult,Female,"High Income"
8339,Senior,Female,"High Income"
8340,Adult,Female,"High Income"
8341,Adult,Female,"Upper Middle Income"
8342,Youth,Female,"High Income"
8343,Youth,Male,"High Income"
8344,Adult,Female,"High Income"
8345,Adult,Male,"Upper Middle Income"
8346,Senior,Female,"Upper Middle Income"
8347,Adult,Female,"High Income"
8348,Senior,Male,"High Income"
8349,Adult,Female,"High Income"
8350,Adult,Male,"Upper Middle Income"
8351,Adult,Female,"High Income"
8352,Adult,Female,"Upper Middle Income"
8353,Adult,Female,"High Income"
8354,Adult,Female,"High Income"
8355,Adult,Female,"Low Income"
8356,Senior,Male,"High Income"
8357,Adult,Female,"High Income"
8358,Adult,Female,"Upper Middle Income"
8359,Adult,Male,"Lower Middle Income"
8360,Adult,Male,"Middle Income"
8361,Adult,Male,"High Income"
8362,Adult,Male,"High Income"
8363,Adult,Female,"Lower Middle Income"
8364,Adult,Female,"Lower Middle Income"
8365,Adult,Female,"Middle Income"
8366,Adult,Male,"High Income"
8367,Youth,Male,"Low Income"
8368,Senior,Male,"Low Income"
8369,Adult,Female,"Middle Income"
8370,Youth,Female,"High Income"
8371,Adult,Female,"Low Income"
8372,Senior,Female,"Upper Middle Income"
8373,Adult,Female,"High Income"
8374,Adult,Female,"Middle Income"
8375,Adult,Female,"Upper Middle Income"
8376,Adult,Female,"Upper Middle Income"
8377,Adult,Male,"Upper Middle Income"
8378,Adult,Female,"Upper Middle Income"
8379,Youth,Female,"Middle Income"
8380,Adult,Female,"Middle Income"
8381,Adult,Male,"Upper Middle Income"
8382,Adult,Female,"Upper Middle Income"
8383,Adult,Female,"High Income"
8384,Adult,Male,"Low Income"
8385,Senior,Female,"Low Income"
8386,Adult,Male,"Middle Income"
8387,Adult,Male,"High Income"
8388,Adult,Male,"Low Income"
8389,Adult,Male,"Middle Income"
8390,Senior,Female,"Upper Middle Income"
8391,Adult,Male,"Low Income"
8392,Adult,Male,"Upper Middle Income"
8393,Adult,Male,"Middle Income"
8394,Adult,Male,"Lower Middle Income"
8395,Youth,Male,"Low Income"
8396,Adult,Female,"High Income"
8397,Adult,Male,"Upper Middle Income"
8398,Adult,Female,"High Income"
8399,Adult,Female,"High Income"
8400,Youth,Male,"Upper Middle Income"
8401,Adult,Female,"Upper Middle Income"
8402,Adult,Male,"Upper Middle Income"
8403,Adult,Male,"Low Income"
8404,Senior,Male,"Low Income"
8405,Adult,Male,"Lower Middle Income"
8406,Adult,Female,"Upper Middle Income"
8407,Adult,Female,"Upper Middle Income"
8408,Adult,Male,"High Income"
8409,Youth,Female,"Middle Income"
8410,Adult,Male,"High Income"
8411,Adult,Female,"High Income"
8412,Youth,Male,"Upper Middle Income"
8413,Adult,Male,"Lower Middle Income"
8414,Adult,Male,"Lower Middle Income"
8415,Adult,Male,"Middle Income"
8416,Adult,Female,"High Income"
8417,Adult,Female,"High Income"
8418,Adult,Male,"Upper Middle Income"
8419,Senior,Female,"Upper Middle Income"
8420,Adult,Female,"Lower Middle Income"
8421,Adult,Female,"Upper Middle Income"
8422,Adult,Male,"Upper Middle Income"
8423,Adult,Female,"Low Income"
8424,Adult,Female,"Low Income"
8425,Senior,Female,"Low Income"
8426,Adult,Male,"Upper Middle Income"
8427,Adult,Male,"Middle Income"
8428,Adult,Male,"High Income"
8429,Youth,Female,"High Income"
8430,Adult,Female,"Middle Income"
8431,Adult,Male,"Upper Middle Income"
8432,Adult,Female,"Low Income"
8433,Youth,Female,"Upper Middle Income"
8434,Adult,Female,"Upper Middle Income"
8435,Adult,Female,"Middle Income"
8436,Adult,Female,"High Income"
8437,Adult,Male,"Upper Middle Income"
8438,Adult,Female,"Lower Middle Income"
8439,Senior,Male,"Middle Income"
8440,Adult,Male,"Low Income"
8441,Adult,Male,"Middle Income"
8442,Adult,Male,"High Income"
8443,Adult,Male,"High Income"
8444,Youth,Male,"Upper Middle Income"
8445,Adult,Female,"Upper Middle Income"
8446,Adult,Male,"Upper Middle Income"
8447,Adult,Female,"Low Income"
8448,Senior,Male,"Middle Income"
8449,Adult,Female,"High Income"
8450,Adult,Female,"Upper Middle Income"
8451,Adult,Male,"Low Income"
8452,Senior,Female,"Middle Income"
8453,Senior,Female,"Upper Middle Income"
8454,Adult,Female,"Middle Income"
8455,Youth,Female,"Middle Income"
8456,Adult,Female,"High Income"
8457,Adult,Female,"Upper Middle Income"
8458,Adult,Female,"Upper Middle Income"
8459,Adult,Male,"Upper Middle Income"
8460,Adult,Female,"Middle Income"
8461,Adult,Male,"Middle Income"
8462,Adult,Female,"High Income"
8463,Youth,Male,"Upper Middle Income"
8464,Adult,Female,"High Income"
8465,Youth,Female,"Middle Income"
8466,Youth,Male,"Upper Middle Income"
8467,Adult,Male,"Upper Middle Income"
8468,Adult,Female,"Middle Income"
8469,Senior,Female,"High Income"
8470,Adult,Female,"Middle Income"
8471,Adult,Male,"High Income"
8472,Adult,Female,"Low Income"
8473,Adult,Female,"Low Income"
8474,Senior,Male,"Lower Middle Income"
8475,Adult,Male,"Upper Middle Income"
8476,Adult,Female,"Upper Middle Income"
8477,Senior,Male,"High Income"
8478,Adult,Male,"Upper Middle Income"
8479,Adult,Female,"Middle Income"
8480,Adult,Male,"Lower Middle Income"
8481,Adult,Female,"Low Income"
8482,Adult,Male,"Lower Middle Income"
8483,Adult,Female,"Low Income"
8484,Adult,Female,"Lower Middle Income"
8485,Adult,Male,"Upper Middle Income"
8486,Adult,Female,"Upper Middle Income"
8487,Adult,Male,"Lower Middle Income"
8488,Adult,Female,"Upper Middle Income"
8489,Adult,Female,"Upper Middle Income"
8490,Youth,Female,"Middle Income"
8491,Youth,Female,"Middle Income"
8492,Adult,Male,"High Income"
8493,Adult,Female,"High Income"
8494,Adult,Male,"Middle Income"
8495,Senior,Male,"Low Income"
8496,Adult,Female,"High Income"
8497,Adult,Male,"Lower Middle Income"
8498,Adult,Female,"High Income"
8499,Youth,Male,"Lower Middle Income"
8500,Adult,Female,"Upper Middle Income"
8501,Adult,Male,"Lower Middle Income"
8502,Youth,Male,"Upper Middle Income"
8503,Adult,Female,"Middle Income"
8504,Adult,Female,"Middle Income"
8505,Youth,Female,"Upper Middle Income"
8506,Adult,Male,"Upper Middle Income"
8507,Adult,Male,"Upper Middle Income"
8508,Adult,Female,"Middle Income"
8509,Senior,Female,"Lower Middle Income"
8510,Adult,Male,"Lower Middle Income"
8511,Adult,Female,"High Income"
8512,Adult,Female,"High Income"
8513,Adult,Female,"Lower Middle Income"
8514,Adult,Female,"High Income"
8515,Youth,Female,"Upper Middle Income"
8516,Adult,Male,"High Income"
8517,Senior,Male,"Upper Middle Income"
8518,Adult,Female,"Upper Middle Income"
8519,Adult,Female,"Lower Middle Income"
8520,Senior,Female,"Lower Middle Income"
8521,Youth,Male,"Middle Income"
8522,Adult,Female,"Lower Middle Income"
8523,Adult,Female,"Upper Middle Income"
8524,Adult,Male,"Upper Middle Income"
8525,Adult,Male,"Low Income"
8526,Senior,Female,"Lower Middle Income"
8527,Adult,Female,"Low Income"
8528,Adult,Male,"Low Income"
8529,Adult,Female,"Upper Middle Income"
8530,Adult,Female,"Low Income"
8531,Adult,Female,"Low Income"
8532,Adult,Male,"Upper Middle Income"
8533,Adult,Female,"Upper Middle Income"
8534,Adult,Male,"Low Income"
8535,Youth,Female,"Middle Income"
8536,Adult,Male,"Lower Middle Income"
8537,Adult,Female,"Upper Middle Income"
8538,Senior,Male,"High Income"
8539,Adult,Female,"Upper Middle Income"
8540,Adult,Female,"Lower Middle Income"
8541,Adult,Male,"Middle Income"
8542,Adult,Female,"Upper Middle Income"
8543,Youth,Male,"Upper Middle Income"
8544,Youth,Male,"High Income"
8545,Adult,Female,"High Income"
8546,Youth,Male,"Middle Income"
8547,Adult,Female,"Upper Middle Income"
8548,Adult,Female,"Upper Middle Income"
8549,Adult,Female,"Low Income"
8550,Youth,Male,"Middle Income"
8551,Senior,Female,"Upper Middle Income"
8552,Adult,Female,"Upper Middle Income"
8553,Adult,Male,"Lower Middle Income"
8554,Adult,Female,"Middle Income"
8555,Adult,Male,"Lower Middle Income"
8556,Adult,Female,"Middle Income"
8557,Adult,Male,"Upper Middle Income"
8558,Senior,Female,"Middle Income"
8559,Adult,Female,"Upper Middle Income"
8560,Adult,Male,"Upper Middle Income"
8561,Adult,Male,"Upper Middle Income"
8562,Senior,Female,"Upper Middle Income"
8563,Adult,Female,"High Income"
8564,Adult,Male,"Upper Middle Income"
8565,Adult,Male,"Lower Middle Income"
8566,Youth,Female,"Upper Middle Income"
8567,Youth,Female,"Upper Middle Income"
8568,Adult,Female,"Upper Middle Income"
8569,Adult,Female,"High Income"
8570,Adult,Male,"High Income"
8571,Adult,Female,"Middle Income"
8572,Adult,Female,"Middle Income"
8573,Adult,Male,"Upper Middle Income"
8574,Adult,Female,"High Income"
8575,Adult,Female,"High Income"
8576,Adult,Male,"Middle Income"
8577,Adult,Female,"Upper Middle Income"
8578,Youth,Male,"Middle Income"
8579,Senior,Female,"Middle Income"
8580,Senior,Female,"Lower Middle Income"
8581,Adult,Male,"Low Income"
8582,Adult,Male,"High Income"
8583,Adult,Female,"High Income"
8584,Adult,Female,"High Income"
8585,Adult,Female,"Upper Middle Income"
8586,Adult,Female,"High Income"
8587,Adult,Female,"Middle Income"
8588,Adult,Female,"Middle Income"
8589,Adult,Female,"Upper Middle Income"
8590,Adult,Male,"Upper Middle Income"
8591,Senior,Female,"Middle Income"
8592,Adult,Female,"Upper Middle Income"
8593,Youth,Female,"Middle Income"
8594,Youth,Female,"Lower Middle Income"
8595,Senior,Female,"High Income"
8596,Adult,Female,"Upper Middle Income"
8597,Adult,Male,"Lower Middle Income"
8598,Adult,Male,"High Income"
8599,Adult,Female,"Middle Income"
8600,Adult,Male,"Upper Middle Income"
8601,Adult,Male,"High Income"
8602,Adult,Male,"Middle Income"
8603,Adult,Female,"Middle Income"
8604,Adult,Female,"High Income"
8605,Adult,Female,"Lower Middle Income"
8606,Adult,Female,"Upper Middle Income"
8607,Adult,Male,"High Income"
8608,Senior,Female,"High Income"
8609,Adult,Female,"Lower Middle Income"
8610,Senior,Female,"High Income"
8611,Adult,Male,"High Income"
8612,Adult,Male,"Upper Middle Income"
8613,Senior,Male,"Middle Income"
8614,Adult,Female,"Lower Middle Income"
8615,Adult,Female,"Upper Middle Income"
8616,Adult,Female,"Upper Middle Income"
8617,Adult,Female,"Upper Middle Income"
8618,Adult,Female,"Middle Income"
8619,Adult,Female,"Middle Income"
8620,Adult,Male,"Lower Middle Income"
8621,Senior,Male,"Lower Middle Income"
8622,Adult,Female,"High Income"
8623,Adult,Male,"Upper Middle Income"
8624,Adult,Female,"Low Income"
8625,Adult,Female,"High Income"
8626,Adult,Female,"Lower Middle Income"
8627,Adult,Female,"Lower Middle Income"
8628,Adult,Female,"Upper Middle Income"
8629,Senior,Female,"Upper Middle Income"
8630,Adult,Male,"Middle Income"
8631,Senior,Male,"Upper Middle Income"
8632,Adult,Male,"Lower Middle Income"
8633,Adult,Female,"Lower Middle Income"
8634,Adult,Male,"Lower Middle Income"
8635,Adult,Male,"High Income"
8636,Senior,Male,"Middle Income"
8637,Adult,Female,"High Income"
8638,Adult,Female,"Low Income"
8639,Adult,Female,"Upper Middle Income"
8640,Adult,Female,"Upper Middle Income"
8641,Adult,Female,"Upper Middle Income"
8642,Adult,Female,"Upper Middle Income"
8643,Youth,Female,"Upper Middle Income"
8644,Adult,Female,"Upper Middle Income"
8645,Adult,Male,"Low Income"
8646,Adult,Female,"Upper Middle Income"
8647,Senior,Male,"Upper Middle Income"
8648,Adult,Female,"High Income"
8649,Adult,Female,"Lower Middle Income"
8650,Adult,Male,"High Income"
8651,Youth,Male,"Upper Middle Income"
8652,Adult,Female,"High Income"
8653,Adult,Male,"Upper Middle Income"
8654,Adult,Female,"Middle Income"
8655,Senior,Female,"High Income"
8656,Adult,Female,"Upper Middle Income"
8657,Adult,Female,"Upper Middle Income"
8658,Adult,Female,"Middle Income"
8659,Adult,Female,"Lower Middle Income"
8660,Adult,Female,"Upper Middle Income"
8661,Adult,Female,"Upper Middle Income"
8662,Adult,Female,"Middle Income"
8663,Adult,Female,"Upper Middle Income"
8664,Adult,Male,"Upper Middle Income"
8665,Adult,Female,"Middle Income"
8666,Youth,Female,"Lower Middle Income"
8667,Adult,Male,"Lower Middle Income"
8668,Adult,Male,"Middle Income"
8669,Adult,Female,"Middle Income"
8670,Adult,Male,"High Income"
8671,Adult,Male,"Low Income"
8672,Adult,Female,"Upper Middle Income"
8673,Adult,Female,"Middle Income"
8674,Adult,Male,"Upper Middle Income"
8675,Adult,Female,"Lower Middle Income"
8676,Adult,Female,"Upper Middle Income"
8677,Adult,Female,"Upper Middle Income"
8678,Adult,Male,"High Income"
8679,Adult,Female,"Upper Middle Income"
8680,Youth,Female,"Lower Middle Income"
8681,Adult,Female,"Upper Middle Income"
8682,Adult,Female,"Upper Middle Income"
8683,Adult,Female,"High Income"
8684,Adult,Male,"Lower Middle Income"
8685,Adult,Female,"High Income"
8686,Senior,Male,"Upper Middle Income"
8687,Adult,Female,"Upper Middle Income"
8688,Youth,Female,"Low Income"
8689,Youth,Male,"High Income"
8690,Adult,Female,"High Income"
8691,Adult,Male,"Low Income"
8692,Adult,Male,"Upper Middle Income"
8693,Adult,Female,"Upper Middle Income"
8694,Adult,Male,"Upper Middle Income"
8695,Senior,Female,"Middle Income"
8696,Adult,Male,"Upper Middle Income"
8697,Youth,Female,"Middle Income"
8698,Adult,Female,"Upper Middle Income"
8699,Senior,Female,"Middle Income"
8700,Adult,Female,"Upper Middle Income"
8701,Youth,Female,"Lower Middle Income"
8702,Adult,Male,"Middle Income"
8703,Adult,Male,"High Income"
8704,Youth,Female,"Low Income"
8705,Adult,Male,"Middle Income"
8706,Youth,Female,"Upper Middle Income"
8707,Adult,Male,"Upper Middle Income"
8708,Adult,Female,"Middle Income"
8709,Adult,Female,"Upper Middle Income"
8710,Adult,Male,"Middle Income"
8711,Adult,Female,"High Income"
8712,Adult,Male,"Upper Middle Income"
8713,Adult,Female,"Upper Middle Income"
8714,Adult,Male,"Lower Middle Income"
8715,Adult,Female,"High Income"
8716,Youth,Female,"Upper Middle Income"
8717,Adult,Male,"Upper Middle Income"
8718,Adult,Male,"Middle Income"
8719,Senior,Female,"High Income"
8720,Adult,Male,"Upper Middle Income"
8721,Adult,Female,"Lower Middle Income"
8722,Adult,Female,"High Income"
8723,Adult,Male,"High Income"
8724,Adult,Female,"Lower Middle Income"
8725,Adult,Female,"Upper Middle Income"
8726,Youth,Female,"Lower Middle Income"
8727,Youth,Female,"Upper Middle Income"
8728,Adult,Male,"Lower Middle Income"
8729,Adult,Male,"High Income"
8730,Senior,Female,"Upper Middle Income"
8731,Adult,Female,"Upper Middle Income"
8732,Adult,Male,"Upper Middle Income"
8733,Adult,Female,"Upper Middle Income"
8734,Youth,Female,"Upper Middle Income"
