CustomerID,AdSpend_Group,Pre_Purchase_Group,Customer_Loyalty,Conv_Probability
8232,"Medium Spend","Frequent Buyer","Gold Tier","High Probability"
8233,"High Spend","Frequent Buyer","Platinum Tier","High Probability"
8234,"High Spend","Frequent Buyer","Platinum Tier","High Probability"
8235,"High Spend","Occasional Buyer","Gold Tier","High Probability"
8236,"High Spend","New Customer","Gold Tier","High Probability"
8237,"Medium Spend","Frequent Buyer","Silver Tier","High Probability"
8238,"High Spend","Occasional Buyer","Platinum Tier","High Probability"
8239,"High Spend","Frequent Buyer","Silver Tier","High Probability"
8240,"High Spend","Frequent Buyer","Gold Tier","High Probability"
8241,"Medium Spend","Frequent Buyer","Platinum Tier","High Probability"
8242,"Low Spend","New Customer","Platinum Tier","High Probability"
8243,"Medium Spend","Occasional Buyer","Platinum Tier","High Probability"
8244,"High Spend","Frequent Buyer","Platinum Tier","High Probability"
8245,"High Spend","Occasional Buyer","Bronze Tier","High Probability"
8246,"Medium Spend","Frequent Buyer","Bronze Tier","High Probability"
8247,"High Spend","Frequent Buyer","Gold Tier","High Probability"
8248,"High Spend","Frequent Buyer","Silver Tier","High Probability"
8249,"High Spend","Occasional Buyer","Bronze Tier","Low Probability"
8250,"High Spend","Occasional Buyer","Silver Tier","High Probability"
8251,"High Spend","Frequent Buyer","Silver Tier","High Probability"
8252,"High Spend","Frequent Buyer","Gold Tier","High Probability"
8253,"High Spend","Frequent Buyer","Silver Tier","High Probability"
8254,"High Spend","Frequent Buyer","Platinum Tier","High Probability"
8255,"High Spend","New Customer","Gold Tier","High Probability"
8256,"Medium Spend","Frequent Buyer","Bronze Tier","High Probability"
8257,"Medium Spend","New Customer","Gold Tier","High Probability"
8258,"High Spend","Frequent Buyer","Gold Tier","High Probability"
8259,"Low Spend","Frequent Buyer","Silver Tier","High Probability"
8260,"High Spend","Frequent Buyer","Platinum Tier","High Probability"
8261,"High Spend","Frequent Buyer","Gold Tier","High Probability"
8262,"High Spend","Occasional Buyer","Gold Tier","High Probability"
8263,"Medium Spend","Frequent Buyer","Platinum Tier","High Probability"
8264,"High Spend","Occasional Buyer","Bronze Tier","Low Probability"
8265,"High Spend","Occasional Buyer","Gold Tier","High Probability"
8266,"High Spend","Frequent Buyer","Silver Tier","High Probability"
8267,"High Spend","Occasional Buyer","Silver Tier","High Probability"
8268,"High Spend","New Customer","Platinum Tier","High Probability"
8269,"Low Spend","Occasional Buyer","Gold Tier","High Probability"
8270,"High Spend","Occasional Buyer","Platinum Tier","High Probability"
8271,"Medium Spend","Occasional Buyer","Gold Tier","High Probability"
8272,"Medium Spend","Frequent Buyer","Platinum Tier","High Probability"
8273,"High Spend","Frequent Buyer","Silver Tier","High Probability"
8274,"High Spend","Frequent Buyer","Platinum Tier","Low Probability"
8275,"High Spend","Occasional Buyer","Gold Tier","High Probability"
8276,"High Spend","Frequent Buyer","Silver Tier","High Probability"
8277,"Medium Spend","Frequent Buyer","Gold Tier","High Probability"
8278,"Medium Spend","Frequent Buyer","Bronze Tier","High Probability"
8279,"High Spend","Frequent Buyer","Silver Tier","High Probability"
8280,"High Spend","Occasional Buyer","Gold Tier","High Probability"
8281,"High Spend","Occasional Buyer","Platinum Tier","High Probability"
8282,"High Spend","Frequent Buyer","Gold Tier","High Probability"
8283,"High Spend","New Customer","Silver Tier","High Probability"
8284,"High Spend","New Customer","Bronze Tier","High Probability"
8285,"Medium Spend","Frequent Buyer","Platinum Tier","High Probability"
8286,"High Spend","Frequent Buyer","Gold Tier","Low Probability"
8287,"High Spend","Frequent Buyer","Silver Tier","High Probability"
8288,"Medium Spend","Frequent Buyer","Bronze Tier","High Probability"
8289,"High Spend","Occasional Buyer","Platinum Tier","High Probability"
8290,"High Spend","Occasional Buyer","Platinum Tier","High Probability"
8291,"High Spend","Frequent Buyer","Platinum Tier","High Probability"
8292,"Medium Spend","New Customer","Platinum Tier","Low Probability"
8293,"High Spend","Frequent Buyer","Platinum Tier","High Probability"
8294,"High Spend","Frequent Buyer","Silver Tier","High Probability"
8295,"Medium Spend","Frequent Buyer","Bronze Tier","High Probability"
8296,"Medium Spend","Frequent Buyer","Gold Tier","Low Probability"
8297,"High Spend","Frequent Buyer","Platinum Tier","High Probability"
8298,"Medium Spend","Frequent Buyer","Gold Tier","High Probability"
8299,"High Spend","Occasional Buyer","Platinum Tier","High Probability"
8300,"High Spend","Frequent Buyer","Platinum Tier","High Probability"
8301,"High Spend","Frequent Buyer","Gold Tier","High Probability"
8302,"High Spend","Frequent Buyer","Platinum Tier","High Probability"
8303,"High Spend","Occasional Buyer","Bronze Tier","Low Probability"
8304,"Medium Spend","Occasional Buyer","Bronze Tier","High Probability"
8305,"Medium Spend","Occasional Buyer","Bronze Tier","High Probability"
8306,"High Spend","Occasional Buyer","Bronze Tier","High Probability"
8307,"Medium Spend","Frequent Buyer","Gold Tier","High Probability"
8308,"High Spend","Frequent Buyer","Gold Tier","Low Probability"
8309,"Medium Spend","New Customer","Platinum Tier","Low Probability"
8310,"Medium Spend","Frequent Buyer","Gold Tier","High Probability"
8311,"High Spend","Frequent Buyer","Bronze Tier","High Probability"
8312,"High Spend","Frequent Buyer","Silver Tier","High Probability"
8313,"High Spend","Frequent Buyer","Silver Tier","High Probability"
8314,"High Spend","Occasional Buyer","Gold Tier","High Probability"
8315,"High Spend","Frequent Buyer","Platinum Tier","High Probability"
8316,"Medium Spend","Occasional Buyer","Bronze Tier","Low Probability"
8317,"Medium Spend","Frequent Buyer","Gold Tier","High Probability"
8318,"High Spend","Frequent Buyer","Silver Tier","High Probability"
8319,"High Spend","Occasional Buyer","Platinum Tier","Low Probability"
8320,"High Spend","Occasional Buyer","Platinum Tier","Low Probability"
8321,"Medium Spend","Occasional Buyer","Platinum Tier","High Probability"
8322,"Medium Spend","Frequent Buyer","Platinum Tier","High Probability"
8323,"High Spend","Frequent Buyer","Gold Tier","High Probability"
8324,"High Spend","Frequent Buyer","Gold Tier","High Probability"
8325,"High Spend","Frequent Buyer","Silver Tier","High Probability"
8326,"Medium Spend","Frequent Buyer","Platinum Tier","High Probability"
8327,"High Spend","Frequent Buyer","Silver Tier","High Probability"
8328,"High Spend","Occasional Buyer","Platinum Tier","High Probability"
8329,"High Spend","Frequent Buyer","Gold Tier","High Probability"
8330,"High Spend","Occasional Buyer","Platinum Tier","High Probability"
8331,"High Spend","Occasional Buyer","Gold Tier","High Probability"
8332,"High Spend","Frequent Buyer","Platinum Tier","High Probability"
8333,"High Spend","Occasional Buyer","Bronze Tier","High Probability"
8334,"High Spend","Frequent Buyer","Bronze Tier","High Probability"
8335,"High Spend","Frequent Buyer","Bronze Tier","High Probability"
8336,"Medium Spend","New Customer","Platinum Tier","High Probability"
8337,"High Spend","Occasional Buyer","Platinum Tier","High Probability"
8338,"High Spend","Frequent Buyer","Silver Tier","High Probability"
8339,"Low Spend","Frequent Buyer","Bronze Tier","High Probability"
8340,"High Spend","New Customer","Silver Tier","High Probability"
8341,"High Spend","Frequent Buyer","Platinum Tier","High Probability"
8342,"High Spend","Frequent Buyer","Platinum Tier","High Probability"
8343,"High Spend","Frequent Buyer","Platinum Tier","High Probability"
8344,"Medium Spend","Occasional Buyer","Silver Tier","Low Probability"
8345,"High Spend","New Customer","Platinum Tier","Low Probability"
8346,"High Spend","Occasional Buyer","Gold Tier","High Probability"
8347,"Medium Spend","Frequent Buyer","Bronze Tier","Low Probability"
8348,"High Spend","Frequent Buyer","Bronze Tier","High Probability"
8349,"High Spend","Occasional Buyer","Silver Tier","High Probability"
8350,"Low Spend","Frequent Buyer","Silver Tier","High Probability"
8351,"High Spend","Frequent Buyer","Gold Tier","High Probability"
8352,"High Spend","Frequent Buyer","Bronze Tier","High Probability"
8353,"Medium Spend","Frequent Buyer","Gold Tier","High Probability"
8354,"High Spend","Frequent Buyer","Platinum Tier","High Probability"
8355,"High Spend","Frequent Buyer","Platinum Tier","High Probability"
8356,"Medium Spend","Occasional Buyer","Silver Tier","Low Probability"
8357,"High Spend","Frequent Buyer","Gold Tier","High Probability"
8358,"Low Spend","Occasional Buyer","Silver Tier","High Probability"
8359,"Medium Spend","Occasional Buyer","Bronze Tier","High Probability"
8360,"Medium Spend","Frequent Buyer","Bronze Tier","Low Probability"
8361,"High Spend","Frequent Buyer","Silver Tier","High Probability"
8362,"High Spend","Occasional Buyer","Silver Tier","High Probability"
8363,"High Spend","Frequent Buyer","Bronze Tier","High Probability"
8364,"High Spend","New Customer","Bronze Tier","Low Probability"
8365,"High Spend","Frequent Buyer","Platinum Tier","High Probability"
8366,"Medium Spend","Frequent Buyer","Silver Tier","High Probability"
8367,"High Spend","New Customer","Platinum Tier","High Probability"
8368,"Low Spend","Frequent Buyer","Silver Tier","High Probability"
8369,"Low Spend","Frequent Buyer","Silver Tier","High Probability"
8370,"High Spend","Frequent Buyer","Gold Tier","High Probability"
8371,"Medium Spend","Occasional Buyer","Silver Tier","High Probability"
8372,"High Spend","Occasional Buyer","Gold Tier","High Probability"
8373,"High Spend","Frequent Buyer","Silver Tier","High Probability"
8374,"Medium Spend","Frequent Buyer","Bronze Tier","High Probability"
8375,"High Spend","Frequent Buyer","Platinum Tier","High Probability"
8376,"High Spend","Occasional Buyer","Gold Tier","High Probability"
8377,"High Spend","Occasional Buyer","Gold Tier","High Probability"
8378,"High Spend","Frequent Buyer","Silver Tier","High Probability"
8379,"High Spend","Occasional Buyer","Gold Tier","Low Probability"
8380,"Medium Spend","Frequent Buyer","Gold Tier","High Probability"
8381,"High Spend","Occasional Buyer","Gold Tier","High Probability"
8382,"High Spend","Frequent Buyer","Silver Tier","High Probability"
8383,"High Spend","Occasional Buyer","Platinum Tier","High Probability"
8384,"High Spend","Frequent Buyer","Silver Tier","High Probability"
8385,"Medium Spend","New Customer","Silver Tier","High Probability"
8386,"Medium Spend","Frequent Buyer","Platinum Tier","High Probability"
8387,"Medium Spend","Frequent Buyer","Gold Tier","High Probability"
8388,"High Spend","Occasional Buyer","Bronze Tier","High Probability"
8389,"High Spend","Frequent Buyer","Gold Tier","High Probability"
8390,"High Spend","Occasional Buyer","Platinum Tier","High Probability"
8391,"Medium Spend","Frequent Buyer","Silver Tier","High Probability"
8392,"Medium Spend","Frequent Buyer","Gold Tier","High Probability"
8393,"High Spend","Frequent Buyer","Gold Tier","High Probability"
8394,"High Spend","Frequent Buyer","Platinum Tier","High Probability"
8395,"Medium Spend","Occasional Buyer","Gold Tier","High Probability"
8396,"Low Spend","Frequent Buyer","Gold Tier","High Probability"
8397,"High Spend","Occasional Buyer","Bronze Tier","High Probability"
8398,"Low Spend","Occasional Buyer","Gold Tier","High Probability"
8399,"High Spend","New Customer","Gold Tier","High Probability"
8400,"High Spend","Frequent Buyer","Platinum Tier","High Probability"
8401,"High Spend","Frequent Buyer","Gold Tier","High Probability"
8402,"High Spend","Frequent Buyer","Gold Tier","Low Probability"
8403,"High Spend","Frequent Buyer","Bronze Tier","High Probability"
8404,"Medium Spend","Frequent Buyer","Platinum Tier","High Probability"
8405,"High Spend","New Customer","Silver Tier","High Probability"
8406,"High Spend","New Customer","Gold Tier","High Probability"
8407,"High Spend","Frequent Buyer","Silver Tier","High Probability"
8408,"High Spend","Frequent Buyer","Platinum Tier","High Probability"
8409,"Low Spend","Frequent Buyer","Platinum Tier","High Probability"
8410,"Medium Spend","Occasional Buyer","Gold Tier","High Probability"
8411,"High Spend","New Customer","Silver Tier","High Probability"
8412,"High Spend","Occasional Buyer","Platinum Tier","High Probability"
8413,"High Spend","Frequent Buyer","Gold Tier","High Probability"
8414,"High Spend","Frequent Buyer","Platinum Tier","High Probability"
8415,"High Spend","Occasional Buyer","Platinum Tier","High Probability"
8416,"High Spend","Occasional Buyer","Platinum Tier","High Probability"
8417,"Medium Spend","Frequent Buyer","Bronze Tier","High Probability"
8418,"High Spend","Frequent Buyer","Platinum Tier","High Probability"
8419,"High Spend","Frequent Buyer","Gold Tier","High Probability"
8420,"Medium Spend","New Customer","Platinum Tier","High Probability"
8421,"High Spend","Occasional Buyer","Bronze Tier","High Probability"
8422,"High Spend","New Customer","Gold Tier","High Probability"
8423,"High Spend","Occasional Buyer","Gold Tier","High Probability"
8424,"High Spend","Frequent Buyer","Platinum Tier","High Probability"
8425,"High Spend","Frequent Buyer","Platinum Tier","High Probability"
8426,"High Spend","Frequent Buyer","Platinum Tier","High Probability"
8427,"Medium Spend","Frequent Buyer","Platinum Tier","High Probability"
8428,"High Spend","Frequent Buyer","Platinum Tier","High Probability"
8429,"High Spend","Occasional Buyer","Gold Tier","High Probability"
8430,"High Spend","Occasional Buyer","Silver Tier","High Probability"
8431,"High Spend","Frequent Buyer","Platinum Tier","High Probability"
8432,"High Spend","Frequent Buyer","Platinum Tier","High Probability"
8433,"Medium Spend","New Customer","Platinum Tier","High Probability"
8434,"Medium Spend","Frequent Buyer","Platinum Tier","High Probability"
8435,"High Spend","Frequent Buyer","Bronze Tier","High Probability"
8436,"High Spend","Frequent Buyer","Platinum Tier","High Probability"
8437,"High Spend","Occasional Buyer","Platinum Tier","Low Probability"
8438,"High Spend","Frequent Buyer","Gold Tier","High Probability"
