Unnamed: 0,CustomerID,Age,Gender,Income,CampaignChannel,CampaignType,AdSpend,ClickThroughRate,ConversionRate,WebsiteVisits,PagesPerVisit,TimeOnSite,SocialShares,EmailOpens,EmailClicks,PreviousPurchases,LoyaltyPoints,Conversion
37,8037,68,Male,122478,PPC,Consideration,285.39,0.06,0.07,44,4.32,1.82,32,14,6,4,257,1
38,8038,61,Female,149203,SEO,Consideration,9435.2,0.24,0.13,32,8.29,2.98,65,15,1,5,4709,1
39,8039,69,Male,141835,Referral,Conversion,3360.96,0.13,0.16,20,1.7,1.17,1,13,0,0,2885,1
40,8040,20,Female,57538,Email,Conversion,4101.22,0.28,0.1,24,1.07,11.25,13,4,7,3,1476,1
41,8041,54,Female,25833,Social Media,Conversion,9087.27,0.02,0.1,39,8.78,2.34,49,14,3,1,3243,1
42,8042,68,Female,142893,SEO,Retention,5313.32,0.24,0.02,46,8.87,10.12,10,9,9,9,3513,1
43,8043,24,Male,43386,SEO,Retention,5705.13,0.05,0.19,21,2.29,8.55,33,5,9,0,913,0
44,8044,38,Male,136981,Referral,Conversion,1844.71,0.06,0.17,13,3.68,9.68,37,15,8,8,2136,1
45,8045,26,Male,120349,Social Media,Awareness,5036.73,0.15,0.09,7,8.66,7.88,91,15,3,0,284,1
46,8046,56,Female,119341,Email,Retention,9190.27,0.12,0.16,23,1.75,0.69,38,18,7,1,4275,1
47,8047,35,Female,91778,Social Media,Consideration,5631.31,0.15,0.07,2,8.77,4.17,21,2,7,8,3388,1
48,8048,21,Female,114240,Referral,Consideration,2625.65,0.28,0.15,11,6.17,13.33,41,19,0,7,883,1
49,8049,42,Female,127955,SEO,Retention,408.69,0.2,0.11,46,6.92,13.97,96,17,4,9,3404,1
50,8050,31,Female,44832,Referral,Consideration,3429.39,0.09,0.1,21,6.35,1.91,94,18,3,9,4788,1
51,8051,67,Female,97857,PPC,Conversion,5768.65,0.06,0.02,15,6.24,14.31,56,1,3,9,4720,1
52,8052,26,Male,58930,SEO,Consideration,521.87,0.13,0.19,6,2.67,10.22,77,8,8,3,2124,1
53,8053,43,Male,52407,Referral,Retention,6136.95,0.14,0.17,17,3.12,13.88,37,0,2,1,3219,1
54,8054,19,Female,24073,Email,Awareness,5281.8,0.18,0.16,44,6.22,6.32,8,3,7,7,4930,1
55,8055,37,Male,37667,Email,Consideration,7856.01,0.09,0.07,22,4.61,1.98,87,3,8,2,1977,1
56,8056,45,Male,36035,Email,Consideration,385.99,0.23,0.07,25,5.87,4.89,28,5,7,9,3851,1
57,8057,64,Female,26732,PPC,Awareness,7830.39,0.04,0.12,37,3.28,10.5,68,5,3,0,336,1
58,8058,24,Female,75097,Social Media,Retention,5256.68,0.17,0.17,1,5.17,12.03,41,18,1,1,465,1
59,8059,61,Male,23487,Email,Awareness,3768.24,0.19,0.19,1,2.29,1.23,59,7,9,3,3434,1
60,8060,25,Female,120488,PPC,Consideration,9657.29,0.07,0.06,21,1.35,7.56,38,7,6,0,1035,1
61,8061,64,Female,77702,Email,Retention,1685.18,0.25,0.13,37,9.56,1.43,90,19,2,5,2604,1
62,8062,52,Female,146671,PPC,Conversion,5459.12,0.19,0.15,41,7.51,13.02,71,12,5,3,716,1
63,8063,31,Male,114961,Email,Retention,3277.72,0.2,0.05,27,5.48,7.41,92,8,2,5,3979,1
64,8064,34,Male,132194,Social Media,Retention,5322.12,0.15,0.09,16,5.96,13.76,59,18,3,4,824,1
65,8065,53,Female,105107,Referral,Conversion,5567.53,0.27,0.05,47,5.6,1.64,52,6,1,3,125,1
66,8066,67,Female,49075,Email,Retention,985.54,0.21,0.14,17,9.09,5.29,75,19,4,6,643,1
67,8067,57,Female,127721,Referral,Consideration,6645.24,0.12,0.17,1,7.96,10.31,7,7,9,6,4051,1
68,8068,21,Female,91031,Email,Consideration,6381.37,0.08,0.18,34,3.93,4.76,20,10,6,3,4280,1
69,8069,19,Male,104217,Social Media,Consideration,7717.73,0.03,0.14,14,2.96,12.7,55,2,1,3,3849,1
70,8070,23,Male,34781,Referral,Consideration,997.52,0.06,0.08,14,1.6,14.81,47,16,4,3,1328,1
71,8071,59,Female,59865,PPC,Conversion,3042.86,0.3,0.14,43,2.33,4.58,46,4,5,7,558,1
72,8072,21,Male,28469,Email,Consideration,6536.09,0.13,0.17,44,5.41,5.74,8,5,5,4,2761,1
73,8073,46,Male,65167,Email,Retention,1453.64,0.27,0.13,33,2.82,14.53,77,14,1,4,2918,1
74,8074,35,Female,144866,PPC,Awareness,6808.22,0.06,0.09,49,3.81,5.69,0,8,1,8,3483,1
75,8075,43,Male,101738,Social Media,Conversion,684.36,0.13,0.18,14,2.2,8.56,54,18,1,9,11,1
76,8076,61,Male,39928,SEO,Conversion,3415.82,0.29,0.17,17,9.31,11.65,30,5,2,5,2751,1
77,8077,51,Female,96521,Email,Awareness,8482.44,0.04,0.18,12,1.3,6.86,79,7,1,3,1964,1
78,8078,27,Male,59599,PPC,Consideration,7765.48,0.18,0.18,37,4.17,5.9,90,11,8,6,4031,1
79,8079,53,Male,36775,SEO,Consideration,6483.13,0.28,0.08,7,3.32,7.69,10,15,9,7,65,1
80,8080,31,Female,86504,Email,Retention,8717.54,0.29,0.17,15,1.07,11.8,65,19,4,6,1998,1
81,8081,48,Female,95918,Referral,Consideration,7121.77,0.26,0.12,19,9.36,5.03,59,2,8,5,590,1
82,8082,65,Male,90687,PPC,Consideration,5241.81,0.26,0.02,25,3.82,5.59,30,15,7,1,220,1
83,8083,32,Female,46804,Referral,Retention,9799.2,0.2,0.13,34,5.52,3.24,49,14,4,4,4394,1
84,8084,25,Male,129122,Social Media,Consideration,6979.08,0.07,0.1,16,6.24,10.67,59,10,6,5,928,1
85,8085,31,Female,52259,SEO,Awareness,6053.54,0.22,0.06,25,6.49,13.54,87,5,1,1,1884,1
86,8086,40,Female,145725,PPC,Consideration,4147.82,0.29,0.19,17,5.14,3.19,61,1,9,8,1530,1
87,8087,57,Female,106284,Email,Awareness,9033.88,0.16,0.02,43,6.34,1.0,38,6,9,9,932,1
88,8088,38,Female,105227,Email,Awareness,3027.52,0.09,0.19,6,7.77,6.03,2,15,6,3,3472,1
89,8089,33,Male,117556,SEO,Awareness,191.27,0.18,0.04,43,9.57,6.45,57,0,4,4,3242,1
90,8090,62,Male,63560,Referral,Consideration,2047.73,0.21,0.08,34,6.91,9.87,67,12,5,4,3897,1
91,8091,35,Female,47256,Referral,Consideration,1184.22,0.07,0.09,11,5.16,1.74,29,3,8,6,1288,1
92,8092,64,Male,26125,PPC,Conversion,3258.04,0.22,0.15,46,5.0,12.41,66,0,7,8,2324,1
93,8093,41,Male,24370,PPC,Retention,8276.2,0.18,0.05,48,7.39,8.82,67,4,1,8,2368,1
94,8094,43,Female,24838,Referral,Retention,6550.14,0.19,0.2,43,6.64,8.42,57,15,9,5,3006,1
95,8095,42,Female,134479,PPC,Conversion,1772.91,0.1,0.15,40,4.78,5.09,76,18,5,8,72,1
96,8096,62,Female,77429,Referral,Awareness,7909.34,0.06,0.16,0,4.02,5.8,52,11,0,3,3482,1
97,8097,58,Male,23134,SEO,Retention,5091.78,0.19,0.03,24,9.94,1.3,13,8,7,4,205,1
98,8098,46,Female,130995,PPC,Conversion,5175.87,0.18,0.1,15,7.9,11.43,9,5,0,4,2595,1
99,8099,32,Male,63199,Referral,Awareness,3684.91,0.11,0.19,14,2.86,9.27,77,8,1,4,3514,1
100,8100,62,Male,97092,PPC,Conversion,8659.7,0.1,0.06,10,3.63,14.66,80,1,3,0,2398,1
101,8101,18,Female,144925,Email,Consideration,3251.44,0.11,0.04,36,9.04,5.63,21,0,9,6,4525,1
102,8102,42,Male,53822,Email,Consideration,1031.98,0.15,0.1,38,6.95,10.16,62,9,1,5,1506,1
103,8103,24,Male,113513,Social Media,Awareness,3097.02,0.29,0.19,2,3.8,13.83,60,2,4,2,1821,1
104,8104,26,Female,40113,Referral,Awareness,7182.0,0.23,0.1,44,4.28,10.82,45,17,6,7,272,1
105,8105,41,Male,83594,Social Media,Consideration,6610.06,0.26,0.09,44,4.41,1.08,36,11,6,5,360,1
106,8106,18,Male,116102,Referral,Retention,1961.37,0.16,0.13,41,2.68,9.67,20,14,9,8,4403,1
107,8107,61,Male,22669,PPC,Retention,1206.66,0.16,0.19,38,5.6,8.41,88,13,4,6,3502,1
108,8108,25,Female,69427,Referral,Consideration,6642.57,0.07,0.02,19,7.89,7.74,2,9,2,7,2395,1
109,8109,41,Female,101617,Email,Retention,6796.13,0.22,0.04,22,6.08,8.52,18,5,4,8,2647,1
110,8110,28,Female,32938,PPC,Consideration,3724.88,0.13,0.04,14,6.9,7.18,31,19,3,5,3426,1
111,8111,68,Female,25717,Email,Conversion,8443.73,0.23,0.03,17,6.36,10.53,78,19,5,7,603,1
112,8112,34,Female,97818,PPC,Conversion,9784.23,0.13,0.07,38,1.53,0.72,23,11,0,1,3469,1
113,8113,25,Female,67659,Referral,Conversion,2135.89,0.04,0.05,34,2.69,3.23,72,8,0,0,4643,0
114,8114,52,Male,127601,Referral,Retention,5812.98,0.06,0.11,28,4.15,5.8,73,3,7,8,162,1
115,8115,52,Male,84575,Email,Conversion,152.93,0.25,0.07,19,9.0,7.06,47,3,5,9,1669,1
116,8116,50,Female,99737,SEO,Awareness,7159.24,0.09,0.09,41,4.14,2.39,95,1,8,5,1981,1
117,8117,22,Male,36289,Referral,Awareness,4201.39,0.09,0.19,14,3.94,12.39,57,6,9,9,4669,1
118,8118,59,Female,44406,SEO,Conversion,2013.37,0.28,0.04,31,1.73,13.98,39,10,0,9,2597,1
119,8119,56,Female,142688,PPC,Awareness,7547.0,0.2,0.08,11,9.75,11.39,6,15,6,2,4820,1
120,8120,58,Female,116822,SEO,Conversion,8125.42,0.04,0.06,47,8.01,13.97,45,9,0,2,3803,1
121,8121,45,Female,32873,Email,Conversion,1200.55,0.05,0.11,11,7.89,11.28,90,14,6,7,3336,1
122,8122,24,Female,145812,Social Media,Consideration,505.86,0.09,0.15,24,4.45,6.9,14,1,6,2,4108,1
123,8123,26,Male,102048,Social Media,Conversion,3407.38,0.18,0.17,33,1.71,6.2,84,11,7,9,3310,1
124,8124,25,Female,114463,Email,Awareness,6297.31,0.23,0.11,7,3.37,2.91,73,14,4,5,4974,1
125,8125,29,Female,43461,Social Media,Retention,7954.85,0.09,0.17,23,8.68,1.75,86,10,7,5,3606,1
126,8126,51,Female,40710,Email,Conversion,5506.02,0.26,0.16,44,2.62,3.68,4,9,9,4,4652,1
127,8127,50,Male,105488,Referral,Consideration,5849.41,0.04,0.04,0,9.05,8.22,58,2,4,6,2863,1
128,8128,65,Male,33448,SEO,Awareness,8018.6,0.07,0.06,24,5.82,2.46,69,7,8,3,596,1
129,8129,40,Male,35198,Social Media,Consideration,5335.55,0.29,0.14,33,7.43,14.29,21,19,7,9,1084,1
130,8130,41,Female,93158,Referral,Conversion,6150.43,0.05,0.2,13,5.08,3.67,27,19,6,5,2530,1
131,8131,54,Female,126384,Social Media,Conversion,5210.55,0.27,0.08,35,9.39,12.59,53,4,6,0,3755,1
132,8132,52,Male,87938,PPC,Conversion,8816.54,0.21,0.05,5,3.16,12.37,18,10,2,2,458,1
133,8133,61,Female,70799,Email,Conversion,2431.61,0.03,0.18,44,6.15,2.55,13,11,5,6,40,1
134,8134,57,Male,121860,Email,Awareness,2713.54,0.15,0.05,8,1.62,10.81,47,19,5,8,2601,1
135,8135,39,Female,114003,Referral,Retention,1366.82,0.16,0.14,47,5.32,12.45,6,10,4,0,819,1
136,8136,44,Female,54961,PPC,Conversion,8212.72,0.28,0.02,0,9.75,13.32,78,5,1,3,3124,1
137,8137,52,Male,63007,SEO,Consideration,4176.6,0.13,0.01,8,1.79,14.33,31,7,9,6,3120,1
138,8138,18,Female,85470,PPC,Awareness,3544.15,0.14,0.1,23,5.56,13.99,21,12,6,9,189,1
139,8139,52,Female,72256,PPC,Awareness,9815.35,0.04,0.13,38,6.42,5.01,45,14,4,8,2995,1
140,8140,54,Female,40739,SEO,Awareness,9275.35,0.2,0.04,17,9.39,4.38,84,1,1,7,2856,1
141,8141,64,Female,104054,SEO,Consideration,9722.68,0.07,0.16,47,3.68,6.26,82,5,3,1,2962,1
142,8142,31,Female,78186,PPC,Retention,1508.76,0.03,0.03,38,5.53,7.24,12,19,0,1,1913,0
143,8143,20,Male,46547,Social Media,Consideration,8923.39,0.3,0.11,17,9.88,3.89,21,1,7,8,1910,1
144,8144,18,Female,114472,Social Media,Consideration,3354.23,0.09,0.07,40,7.92,1.75,9,14,4,1,318,0
145,8145,22,Female,105823,PPC,Consideration,225.3,0.05,0.15,27,8.29,10.02,43,0,7,9,4579,1
146,8146,43,Female,138301,Social Media,Conversion,3973.85,0.21,0.16,1,8.02,3.03,23,10,0,6,4662,1
147,8147,31,Male,126887,SEO,Conversion,5141.04,0.25,0.02,36,5.64,13.77,58,7,7,9,3096,1
148,8148,56,Male,71431,SEO,Consideration,1171.38,0.03,0.05,40,4.91,4.67,61,8,4,8,2876,1
149,8149,44,Male,45476,Social Media,Consideration,5423.01,0.04,0.18,35,3.29,3.37,71,14,6,7,252,1
150,8150,26,Male,98411,SEO,Conversion,8212.69,0.04,0.09,47,5.19,3.32,71,4,2,4,4,1
151,8151,32,Male,30686,Email,Conversion,3838.74,0.02,0.1,23,1.18,4.7,54,8,2,1,3395,0
152,8152,32,Female,37536,SEO,Retention,3591.18,0.2,0.04,34,1.87,9.38,48,3,8,5,2692,1
153,8153,43,Male,54062,PPC,Consideration,3454.22,0.18,0.2,5,3.59,14.69,49,9,6,6,3824,1
154,8154,59,Male,68216,Referral,Awareness,9238.64,0.2,0.19,16,4.0,7.55,18,3,5,9,399,1
155,8155,30,Female,45041,Social Media,Retention,582.71,0.16,0.01,29,7.37,9.2,81,4,3,6,858,1
156,8156,68,Male,51653,Social Media,Awareness,4506.25,0.25,0.11,7,2.54,12.72,57,18,4,4,2699,1
157,8157,49,Male,41673,SEO,Retention,2719.53,0.17,0.18,41,8.16,5.34,96,12,7,9,4216,1
158,8158,56,Male,30367,SEO,Consideration,8948.69,0.28,0.09,9,8.21,3.11,47,10,0,8,2497,1
159,8159,66,Male,39629,Referral,Awareness,1050.92,0.15,0.09,15,6.28,6.79,92,11,1,5,2503,1
160,8160,69,Female,140756,Referral,Conversion,4173.28,0.24,0.08,37,5.42,5.12,95,13,2,9,2986,1
161,8161,49,Male,131641,PPC,Retention,4127.48,0.13,0.02,25,5.21,13.06,71,12,4,8,225,1
162,8162,21,Female,108636,Email,Awareness,8895.1,0.14,0.16,30,4.78,14.68,95,3,7,7,3180,1
163,8163,47,Female,92190,PPC,Retention,2233.39,0.26,0.1,7,1.8,10.48,11,12,4,9,3224,1
164,8164,54,Female,45063,Social Media,Consideration,6484.46,0.04,0.11,34,6.9,9.98,85,4,4,8,4269,1
165,8165,40,Female,39322,SEO,Awareness,1430.62,0.17,0.06,33,6.2,10.86,19,8,5,0,1775,1
166,8166,56,Female,104546,PPC,Awareness,9544.36,0.22,0.16,9,1.14,7.28,44,0,8,1,4941,1
167,8167,62,Female,135637,SEO,Awareness,5970.85,0.23,0.16,39,2.82,9.62,25,11,8,7,927,1
168,8168,32,Male,32693,SEO,Retention,6299.94,0.18,0.12,43,4.93,1.53,80,16,8,5,412,1
169,8169,60,Male,29241,PPC,Conversion,4394.36,0.14,0.18,11,9.11,7.66,97,0,4,0,3631,1
170,8170,46,Female,49778,PPC,Conversion,3488.6,0.09,0.03,40,9.91,5.32,30,18,5,9,3666,1
171,8171,53,Male,122379,Referral,Conversion,2205.5,0.27,0.16,26,7.76,1.27,81,4,6,0,3396,1
172,8172,30,Male,32651,Email,Consideration,6079.48,0.12,0.12,18,7.74,8.4,58,11,2,0,3426,1
173,8173,49,Female,45966,Referral,Awareness,9550.16,0.24,0.05,25,4.74,5.72,2,11,0,2,3060,1
174,8174,24,Female,29275,Email,Conversion,3661.93,0.02,0.04,14,6.14,9.06,17,10,1,8,3550,1
175,8175,68,Male,65606,PPC,Conversion,8843.25,0.08,0.07,30,3.1,7.94,83,15,3,5,3789,1
176,8176,39,Female,21658,Email,Awareness,1572.89,0.11,0.17,45,7.64,4.51,20,16,8,1,2545,1
177,8177,45,Male,114499,Social Media,Consideration,9367.65,0.2,0.16,36,1.54,8.33,56,2,0,7,3047,1
178,8178,19,Female,92468,Referral,Retention,3569.81,0.1,0.13,17,4.76,5.99,98,10,5,9,1407,1
179,8179,59,Male,34248,Referral,Retention,3859.3,0.02,0.03,28,8.48,13.86,41,16,3,2,409,1
180,8180,62,Male,44437,Referral,Retention,4682.14,0.06,0.19,43,9.82,5.95,61,0,5,0,3031,1
181,8181,23,Female,59727,SEO,Awareness,7210.62,0.09,0.07,26,7.27,1.08,29,14,1,9,126,1
182,8182,45,Female,38201,SEO,Consideration,7224.57,0.06,0.13,37,2.78,11.57,60,8,1,5,315,1
183,8183,45,Female,61150,PPC,Awareness,4847.93,0.07,0.16,19,6.14,14.47,35,17,6,3,1148,1
184,8184,61,Female,135148,PPC,Retention,5279.21,0.23,0.04,20,6.04,2.96,54,0,4,5,2248,1
185,8185,61,Male,109891,SEO,Conversion,397.1,0.13,0.13,28,9.69,14.61,3,5,5,7,3438,1
186,8186,37,Female,34999,Referral,Conversion,3112.54,0.13,0.02,42,8.56,9.45,14,1,3,3,4419,1
187,8187,47,Male,140703,SEO,Conversion,3525.57,0.29,0.03,14,1.44,12.79,70,4,0,3,855,0
188,8188,28,Male,26376,Email,Retention,5631.4,0.14,0.15,21,2.98,7.36,95,2,7,5,1886,1
189,8189,45,Male,71673,Referral,Consideration,5627.17,0.28,0.04,22,8.58,9.53,96,4,0,1,4203,1
190,8190,42,Female,23476,SEO,Retention,7128.01,0.1,0.09,3,9.75,12.7,56,7,7,2,1278,1
191,8191,56,Female,137393,PPC,Awareness,7198.57,0.13,0.06,23,3.65,14.75,62,5,0,1,3056,1
192,8192,50,Female,89902,SEO,Consideration,2428.59,0.12,0.09,13,7.22,3.18,76,10,9,8,1032,1
193,8193,18,Female,134510,Social Media,Conversion,7724.85,0.17,0.02,36,3.77,13.53,63,10,9,3,1552,1
194,8194,44,Male,111269,SEO,Consideration,294.08,0.18,0.15,20,1.37,10.18,16,10,3,2,1529,1
195,8195,69,Female,97994,Referral,Consideration,7190.0,0.08,0.03,42,8.47,14.23,52,7,5,1,50,1
196,8196,30,Female,82878,SEO,Retention,1110.4,0.24,0.17,38,7.65,5.11,39,5,0,0,844,0
197,8197,58,Male,118331,PPC,Consideration,7323.52,0.15,0.14,12,1.48,4.02,69,15,8,1,523,1
198,8198,20,Female,40615,Email,Retention,5318.47,0.01,0.09,18,2.31,5.8,49,19,6,3,882,1
199,8199,56,Male,31164,Social Media,Awareness,4428.82,0.18,0.17,25,10.0,13.33,67,19,0,3,2141,1
200,8200,23,Female,59316,Referral,Consideration,6937.6,0.24,0.05,35,6.86,7.16,14,2,9,6,3012,1
201,8201,25,Female,88560,PPC,Consideration,460.07,0.08,0.06,43,8.2,14.3,71,7,1,2,1764,1
202,8202,44,Female,49559,Social Media,Consideration,2312.36,0.02,0.04,45,4.5,4.01,33,12,4,6,2956,1
203,8203,26,Male,82968,SEO,Conversion,6202.76,0.24,0.08,32,5.66,3.7,29,9,2,3,1014,1
204,8204,54,Male,86800,Social Media,Retention,8487.43,0.29,0.2,39,6.58,10.34,86,7,0,8,780,1
205,8205,50,Male,29047,Email,Retention,3872.97,0.03,0.04,15,8.25,4.73,72,9,4,6,155,0
206,8206,68,Male,64985,Social Media,Conversion,2661.74,0.28,0.17,18,4.05,2.37,23,12,7,1,4216,1
207,8207,59,Male,92123,Social Media,Retention,5235.49,0.11,0.13,36,7.05,5.95,7,2,0,8,4398,1
208,8208,61,Female,26577,SEO,Awareness,6260.92,0.28,0.01,13,7.98,4.36,56,3,5,8,446,1
209,8209,41,Female,103171,SEO,Conversion,4259.02,0.2,0.19,43,8.25,6.49,69,15,0,1,3419,1
210,8210,32,Female,131100,Referral,Retention,8779.44,0.27,0.19,43,5.49,3.2,24,2,7,7,1404,1
211,8211,49,Female,23870,SEO,Awareness,5282.04,0.24,0.19,29,5.26,14.38,76,8,4,6,3153,1
212,8212,49,Male,54094,Social Media,Retention,454.65,0.02,0.11,30,1.94,12.12,33,18,2,0,2301,0
213,8213,41,Female,75329,Email,Conversion,2308.23,0.03,0.05,19,5.48,12.69,24,11,7,0,1720,1
214,8214,58,Male,29217,SEO,Retention,4561.41,0.16,0.08,43,7.32,4.82,17,5,9,7,2906,1
215,8215,69,Female,135049,Referral,Awareness,7007.48,0.05,0.13,42,9.29,12.92,72,3,7,9,2689,1
216,8216,66,Female,103138,Referral,Awareness,2275.55,0.14,0.08,46,2.13,9.07,96,13,2,4,4126,1
217,8217,66,Female,86141,Social Media,Awareness,9764.95,0.29,0.14,6,9.72,1.32,69,0,6,8,3798,1
218,8218,69,Male,42343,SEO,Retention,3253.73,0.1,0.16,41,3.11,2.72,13,7,0,2,2072,1
219,8219,29,Female,148307,SEO,Conversion,5371.55,0.15,0.05,36,2.58,6.97,5,18,2,2,3106,1
220,8220,56,Female,70822,Referral,Retention,287.77,0.12,0.09,46,2.03,6.21,81,15,6,7,1749,1
221,8221,19,Male,33003,SEO,Consideration,8860.42,0.19,0.19,1,9.91,12.03,89,7,2,4,3873,1
222,8222,20,Female,128793,Social Media,Conversion,7909.46,0.07,0.06,21,6.05,13.17,35,4,6,0,2220,1
223,8223,66,Female,79538,Email,Consideration,2035.03,0.09,0.08,12,3.44,13.04,35,7,2,8,534,1
224,8224,54,Female,52089,Social Media,Retention,9339.04,0.26,0.02,45,3.86,5.94,74,16,2,1,3945,1
225,8225,66,Male,73595,SEO,Conversion,3226.81,0.25,0.07,37,9.55,9.72,17,5,1,6,2138,1
226,8226,34,Male,103197,Social Media,Consideration,6952.64,0.24,0.08,30,9.1,7.71,14,2,4,7,3657,1
227,8227,66,Male,102318,PPC,Retention,8207.87,0.23,0.03,0,4.15,13.39,93,19,0,3,783,1
228,8228,19,Male,50029,PPC,Conversion,7435.05,0.14,0.01,46,1.57,13.39,88,10,3,2,3651,1
229,8229,19,Male,99023,SEO,Awareness,9184.07,0.22,0.12,42,8.5,1.28,15,12,3,0,625,1
230,8230,45,Male,71324,SEO,Awareness,8656.32,0.12,0.07,12,9.23,8.8,75,18,9,9,397,1
231,8231,40,Female,71962,Email,Awareness,9946.65,0.04,0.01,16,8.54,7.8,13,19,2,6,3919,1
232,8232,54,Female,133037,Social Media,Consideration,1907.85,0.12,0.17,3,9.22,11.67,46,2,4,6,3182,1
233,8233,49,Male,59042,Email,Consideration,3117.14,0.06,0.12,42,6.18,3.34,53,18,3,8,3922,1
234,8234,50,Male,107601,SEO,Retention,6398.64,0.12,0.04,30,8.56,10.58,57,19,7,5,4473,1
235,8235,18,Female,96380,SEO,Awareness,7357.17,0.1,0.17,32,9.5,11.21,76,6,7,3,2690,1
236,8236,36,Male,104859,Referral,Consideration,5392.59,0.18,0.06,13,9.01,0.89,29,10,9,0,2345,1
237,8237,19,Female,110933,Email,Awareness,831.89,0.11,0.05,20,6.28,6.75,99,8,0,5,1206,1
238,8238,61,Female,65957,SEO,Retention,8431.79,0.21,0.18,21,7.72,14.69,45,14,7,1,4289,1
