CustomerID,Age,Gender,Income,CampaignChannel,CampaignType,AdSpend,ClickThroughRate,ConversionRate,WebsiteVisits,PagesPerVisit,TimeOnSite,SocialShares,EmailOpens,EmailClicks,PreviousPurchases,LoyaltyPoints,Conversion
13054,67,Male,100539,Email,Conversion,8617.4,0.27,0.06,43,1.06,8.65,89,10,2,2,4015,1
13878,38,Female,20218,PPC,Conversion,1401.23,0.14,0.17,26,6.69,9.56,85,3,4,3,991,1
13702,49,Female,127508,Referral,Retention,4348.46,0.27,0.12,15,6.93,14.59,62,12,4,0,1456,1
10457,21,Female,25969,Social Media,Conversion,1925.23,0.21,0.08,30,1.61,7.63,19,9,3,0,4802,1
11401,37,Female,96970,Referral,Retention,9559.75,0.22,0.17,13,5.49,9.4,0,16,5,9,1869,1
13348,47,Male,119895,SEO,Awareness,8035.09,0.3,0.16,18,3.48,2.23,74,8,9,2,3884,1
15659,21,Male,104825,Referral,Consideration,5672.43,0.02,0.03,29,8.14,4.25,97,1,5,9,2658,0
11570,63,Female,88196,Referral,Conversion,7998.0,0.03,0.06,46,8.27,3.66,62,11,8,2,3452,1
12301,55,Female,99946,PPC,Conversion,1264.77,0.29,0.07,15,4.4,10.04,49,15,8,7,2214,1
15926,32,Female,47702,Social Media,Awareness,6808.37,0.13,0.16,18,5.06,0.57,16,10,9,0,3985,0
8108,25,Female,69427,Referral,Consideration,6642.57,0.07,0.02,19,7.89,7.74,2,9,2,7,2395,1
11731,56,Male,78175,Email,Consideration,2924.47,0.25,0.16,31,3.47,8.31,43,14,3,4,1611,1
14583,42,Female,121031,Referral,Awareness,5265.33,0.21,0.08,42,4.41,6.97,19,11,4,3,2283,1
8140,54,Female,40739,SEO,Awareness,9275.35,0.2,0.04,17,9.39,4.38,84,1,1,7,2856,1
14292,21,Female,49854,Email,Awareness,1601.1,0.21,0.05,33,5.48,12.06,95,16,4,0,1922,1
8832,55,Male,83983,SEO,Retention,4828.87,0.14,0.07,22,2.37,4.03,76,5,8,3,4940,1
9245,44,Male,43557,Social Media,Retention,8563.62,0.22,0.11,32,9.07,3.8,33,13,0,1,4956,1
15073,66,Female,51607,SEO,Conversion,8899.39,0.09,0.19,1,1.64,12.74,34,0,8,2,1311,1
13422,64,Female,108340,Social Media,Consideration,6449.11,0.21,0.17,25,6.12,10.96,53,19,5,6,3937,1
12220,46,Female,61983,Referral,Awareness,8067.27,0.24,0.16,29,1.41,7.09,68,14,6,6,4882,1
13457,39,Female,149057,SEO,Conversion,1455.84,0.04,0.04,35,8.85,8.63,23,12,4,0,4810,1
15997,28,Female,125471,Referral,Consideration,4609.53,0.06,0.13,35,2.85,14.62,38,16,0,3,738,1
14584,19,Female,88388,Referral,Retention,3182.39,0.29,0.17,24,8.96,5.08,4,17,0,9,1910,1
13349,60,Female,142641,Referral,Conversion,2136.92,0.09,0.17,43,8.36,1.42,68,14,6,3,3041,1
15354,25,Female,91439,Social Media,Retention,3837.93,0.06,0.07,34,7.67,7.29,72,15,4,3,2265,1
9136,31,Female,107160,PPC,Conversion,7435.83,0.08,0.18,13,2.06,3.38,16,5,9,5,4264,1
12497,25,Female,81922,Email,Awareness,4198.83,0.1,0.09,10,6.55,0.93,91,18,7,7,2224,1
10408,63,Male,121794,Social Media,Consideration,7132.15,0.03,0.12,24,9.47,6.88,41,15,6,4,4223,1
12650,64,Female,101006,Referral,Conversion,9138.03,0.1,0.05,35,1.85,11.26,59,15,9,8,4639,1
12721,53,Male,118345,Social Media,Retention,8476.59,0.11,0.16,17,2.06,5.94,75,6,3,7,4511,1
10417,45,Female,140550,SEO,Awareness,3374.8,0.11,0.09,18,1.71,3.55,30,10,5,4,3052,1
10842,54,Female,86890,Email,Awareness,4368.28,0.06,0.03,8,4.09,5.44,82,16,2,8,3016,0
9455,29,Male,125925,Email,Consideration,8425.33,0.14,0.1,2,2.66,13.83,42,13,7,6,2460,1
14029,43,Female,30270,Social Media,Conversion,1099.42,0.23,0.19,46,6.94,9.42,5,14,8,6,3186,1
11617,52,Female,127690,PPC,Consideration,3680.75,0.12,0.1,48,6.59,14.14,79,6,7,7,147,1
12764,54,Female,34312,Social Media,Retention,4337.51,0.21,0.02,14,6.74,11.17,16,13,8,9,3583,1
9249,27,Male,111228,Email,Retention,5781.31,0.18,0.17,29,2.99,4.29,44,16,8,1,245,1
12169,49,Male,78676,Social Media,Conversion,3197.66,0.04,0.13,14,9.3,13.63,76,4,9,3,3556,1
8929,21,Female,136524,PPC,Awareness,8246.34,0.11,0.17,43,1.1,1.38,64,15,8,3,337,1
8739,64,Male,118120,Referral,Conversion,5800.55,0.12,0.05,6,1.59,7.08,97,1,7,9,4006,1
9488,60,Male,44240,Email,Consideration,3978.83,0.02,0.16,46,3.21,2.4,76,2,4,0,3268,0
13017,52,Female,132894,PPC,Consideration,2477.28,0.05,0.07,5,8.79,13.77,56,14,0,9,3940,1
9432,35,Female,101213,Email,Conversion,6981.87,0.04,0.11,25,8.02,2.0,83,7,5,3,4143,1
14982,35,Male,143249,Referral,Awareness,6336.88,0.27,0.12,5,7.4,2.63,90,14,9,1,496,1
13478,25,Female,73506,Email,Conversion,7057.67,0.14,0.1,11,6.85,4.39,68,18,3,7,4925,1
10570,36,Male,68716,SEO,Consideration,9417.69,0.27,0.09,43,1.76,8.54,1,1,0,8,2578,1
9643,47,Male,67553,Social Media,Conversion,3461.27,0.19,0.2,46,5.49,14.58,48,19,0,0,4510,1
15306,42,Female,134742,Email,Consideration,3957.63,0.27,0.17,29,4.52,8.73,63,11,7,7,1132,1
12317,20,Female,74288,Email,Consideration,3894.38,0.14,0.15,11,9.37,7.33,48,2,3,2,2900,1
13644,52,Female,67404,PPC,Consideration,2360.05,0.24,0.17,12,4.35,3.24,67,4,1,7,270,0
11861,41,Male,89843,PPC,Conversion,1717.42,0.09,0.12,3,9.16,2.8,22,9,8,7,1015,1
13538,65,Female,65693,Social Media,Awareness,9781.59,0.29,0.09,34,5.25,2.53,78,6,0,7,3586,1
12492,47,Female,93586,Social Media,Retention,9696.77,0.14,0.04,11,6.34,14.94,53,2,4,9,3618,1
13268,20,Female,132610,Email,Retention,1777.67,0.29,0.14,3,4.68,10.84,18,0,4,6,2254,1
12026,32,Female,45499,PPC,Conversion,9848.97,0.15,0.04,12,2.69,13.05,40,14,5,1,1169,1
10877,46,Female,106348,Email,Retention,6718.38,0.02,0.09,31,5.45,14.58,69,2,3,3,3767,1
11689,43,Female,108417,Email,Awareness,5322.78,0.22,0.18,31,8.94,14.78,35,1,1,3,705,1
13359,53,Female,131113,SEO,Consideration,1080.87,0.16,0.14,39,9.42,11.83,53,10,1,1,423,1
8706,23,Female,117276,PPC,Consideration,524.67,0.29,0.03,49,2.92,4.82,64,18,7,1,3392,0
15987,31,Female,24447,Referral,Consideration,2646.17,0.17,0.13,6,9.2,0.56,87,3,4,1,218,1
15928,32,Male,72971,PPC,Conversion,818.95,0.24,0.1,3,2.39,3.29,56,1,1,9,3128,1
12687,51,Female,117816,PPC,Conversion,7131.93,0.09,0.18,36,7.6,2.01,84,8,4,4,674,1
13175,22,Male,67367,PPC,Conversion,7193.73,0.19,0.2,3,1.85,14.32,97,5,6,4,1209,1
9124,26,Female,23878,Referral,Awareness,3015.18,0.14,0.17,12,6.33,7.11,6,12,1,9,833,1
10833,22,Female,48491,PPC,Retention,6354.78,0.22,0.15,29,8.24,6.21,82,17,3,0,717,1
11957,38,Female,72485,Email,Consideration,6437.26,0.01,0.13,7,7.59,12.73,75,7,7,6,4224,1
9709,20,Male,62427,PPC,Consideration,5669.05,0.01,0.04,4,7.32,7.52,77,18,5,5,3244,1
8802,67,Male,96670,Social Media,Retention,8047.38,0.26,0.05,47,9.68,11.98,94,16,7,6,1944,1
13110,60,Female,138870,PPC,Retention,2928.18,0.26,0.12,36,7.48,3.09,73,16,9,8,3035,1
8318,57,Female,91819,Social Media,Consideration,4202.63,0.06,0.16,34,3.02,11.32,62,6,6,7,1655,1
9762,52,Male,27139,SEO,Awareness,296.77,0.22,0.04,40,4.9,14.99,84,0,1,7,3281,1
12181,63,Male,96433,PPC,Retention,4119.32,0.04,0.15,1,6.04,7.78,24,15,7,6,558,1
13417,40,Male,101434,Email,Conversion,9280.42,0.13,0.2,35,9.74,2.69,97,9,4,5,4362,1
9161,42,Male,73326,Referral,Retention,6726.0,0.26,0.12,26,3.04,7.87,74,13,3,5,3848,1
8684,59,Male,37007,Referral,Conversion,7166.53,0.04,0.08,15,8.68,6.96,83,0,0,3,1355,1
12318,45,Female,141796,PPC,Conversion,9546.01,0.24,0.07,2,8.1,0.74,16,11,8,7,1728,1
12079,52,Female,115273,Referral,Consideration,4825.94,0.18,0.03,21,1.5,5.04,81,18,5,3,1400,1
13237,50,Female,107646,Email,Awareness,9681.72,0.08,0.04,28,8.65,3.17,47,14,0,1,1486,0
14650,57,Male,83537,PPC,Consideration,1946.69,0.11,0.07,26,3.0,14.78,38,2,5,6,559,1
8530,50,Female,23239,Referral,Conversion,5044.54,0.02,0.12,13,2.59,12.43,25,19,4,1,67,1
8887,47,Female,137028,SEO,Retention,1979.06,0.17,0.08,7,8.53,11.87,88,7,0,8,1197,1
15975,56,Male,74254,Social Media,Awareness,2178.68,0.14,0.03,25,8.55,13.89,66,2,0,4,4544,1
11197,52,Female,131857,PPC,Consideration,7400.79,0.14,0.05,32,4.11,5.39,77,11,5,9,4254,1
10277,50,Female,62817,Social Media,Awareness,2898.28,0.11,0.18,1,4.67,3.18,88,14,4,6,4309,1
12918,22,Male,131682,SEO,Retention,5535.52,0.12,0.07,24,3.15,2.83,74,19,2,1,1002,1
8072,21,Male,28469,Email,Consideration,6536.09,0.13,0.17,44,5.41,5.74,8,5,5,4,2761,1
13740,42,Female,61417,SEO,Awareness,2533.51,0.16,0.02,28,5.01,6.19,49,10,5,6,3532,1
8257,26,Female,102455,Email,Retention,1954.41,0.1,0.12,29,3.03,6.8,96,3,4,0,3193,1
10668,53,Male,58418,SEO,Retention,7755.76,0.08,0.13,8,5.82,7.83,28,19,7,9,4264,1
13281,49,Male,55895,PPC,Retention,4648.74,0.04,0.07,10,4.92,1.84,41,6,6,1,1696,0
15678,31,Male,144098,PPC,Consideration,4943.03,0.06,0.02,19,1.57,4.18,68,4,1,3,2989,1
12516,52,Male,142942,SEO,Awareness,9121.33,0.29,0.09,0,6.95,6.83,64,4,5,3,607,1
13285,45,Female,21208,Email,Consideration,5262.8,0.16,0.02,24,8.45,13.43,78,7,4,6,4579,1
15057,40,Male,70955,Referral,Consideration,4262.55,0.09,0.09,13,5.61,11.41,3,17,9,4,3927,1
13307,63,Male,20424,Referral,Consideration,6487.18,0.12,0.08,30,9.82,3.75,55,10,5,4,4862,1
8172,30,Male,32651,Email,Consideration,6079.48,0.12,0.12,18,7.74,8.4,58,11,2,0,3426,1
9473,40,Female,63677,PPC,Retention,1741.26,0.06,0.1,34,1.04,2.76,0,4,5,0,4486,0
11431,29,Male,87657,Email,Conversion,1864.37,0.1,0.08,34,3.41,5.25,35,9,3,4,3411,1
10290,46,Female,81926,Referral,Retention,9466.76,0.06,0.16,16,7.95,7.19,55,18,5,4,3634,1
9900,37,Male,133947,Social Media,Retention,7043.79,0.15,0.02,16,1.05,11.48,83,15,1,6,4941,1
8089,33,Male,117556,SEO,Awareness,191.27,0.18,0.04,43,9.57,6.45,57,0,4,4,3242,1
12374,47,Male,116134,Social Media,Awareness,9519.74,0.23,0.01,48,1.82,4.7,86,19,8,5,3935,1
8560,50,Male,77331,Referral,Awareness,1418.13,0.04,0.17,31,7.76,10.88,96,5,0,0,4789,0
10393,50,Male,118743,Social Media,Awareness,9220.58,0.13,0.01,23,2.69,9.74,61,5,5,7,2600,1
8609,52,Female,33698,Referral,Retention,6578.76,0.27,0.14,4,3.86,4.27,2,18,5,5,768,1
8715,56,Female,142978,Email,Retention,7629.26,0.13,0.17,5,7.67,6.78,0,16,3,9,830,1
8006,38,Female,25615,Referral,Awareness,7302.9,0.04,0.06,42,1.75,10.7,54,14,3,6,930,1
15211,30,Female,105566,Email,Conversion,9134.01,0.19,0.01,27,6.73,10.47,38,17,0,4,4389,1
10012,61,Female,139768,SEO,Conversion,2676.17,0.14,0.14,24,2.56,8.72,73,18,5,3,4659,1
11531,69,Female,41661,SEO,Conversion,6537.93,0.12,0.01,44,8.74,4.9,95,13,1,4,4562,1
10607,39,Female,44061,Social Media,Consideration,2975.8,0.15,0.13,40,8.84,4.56,62,1,3,7,4256,1
8015,41,Female,39192,Email,Awareness,429.08,0.07,0.1,44,6.95,2.25,33,0,1,1,4474,0
9645,56,Female,81410,PPC,Retention,5316.72,0.23,0.08,17,5.0,5.25,95,9,5,0,2901,1
15197,57,Male,81711,Referral,Retention,3358.49,0.29,0.16,29,5.57,6.03,40,4,3,8,3601,1
15373,19,Female,129950,Social Media,Retention,5080.54,0.03,0.1,29,5.52,6.78,74,0,0,0,4662,1
14088,66,Male,51195,Referral,Consideration,5429.74,0.25,0.13,15,7.2,7.79,16,17,4,6,2127,1
10999,56,Female,104834,Email,Conversion,8232.89,0.03,0.16,42,9.98,5.79,84,12,4,0,1256,1
15522,34,Female,43461,PPC,Awareness,9864.95,0.19,0.04,49,1.88,13.17,94,9,9,3,3087,0
8034,33,Male,127713,Social Media,Awareness,9419.67,0.02,0.06,26,4.03,9.6,82,5,7,5,653,1
14540,28,Female,57790,Email,Consideration,766.62,0.13,0.19,47,2.0,13.52,21,13,9,6,1056,1
8300,49,Female,70998,Email,Awareness,5855.3,0.1,0.07,41,9.35,12.98,57,11,0,9,4678,1
10460,63,Female,138504,PPC,Consideration,2455.57,0.13,0.17,8,6.63,2.31,30,14,3,5,1360,1
9932,68,Female,126769,SEO,Retention,6255.33,0.01,0.09,38,2.11,3.59,89,3,5,5,945,0
11349,32,Male,21753,Social Media,Conversion,5599.62,0.28,0.01,43,9.36,5.36,95,19,0,7,3167,1
13496,32,Female,131153,Referral,Awareness,9365.97,0.26,0.09,27,6.56,2.08,85,7,5,8,3369,1
8272,58,Female,122528,Social Media,Retention,1363.33,0.08,0.19,4,8.69,3.53,5,8,4,9,4470,1
11045,36,Female,97318,Referral,Awareness,8593.63,0.27,0.03,3,3.44,7.51,80,8,2,6,745,1
9342,24,Female,102945,Email,Awareness,321.84,0.14,0.18,31,6.43,10.13,36,15,5,2,2423,1
11949,68,Female,137623,Referral,Retention,6142.73,0.06,0.2,35,9.53,3.87,95,17,5,1,4004,1
10011,34,Female,48502,PPC,Retention,8998.85,0.27,0.01,36,1.54,9.55,0,5,4,7,2886,1
9794,26,Female,140428,Email,Awareness,5319.1,0.18,0.11,45,2.28,2.42,59,1,7,5,2415,1
9443,46,Male,57124,Email,Awareness,7841.64,0.15,0.19,20,1.88,8.16,53,17,7,6,643,1
13240,27,Female,101850,Referral,Conversion,4909.97,0.17,0.14,0,8.23,14.77,85,2,6,1,1722,1
15765,49,Female,96848,Email,Retention,2858.17,0.14,0.18,14,9.93,14.31,58,11,9,3,4812,1
9646,52,Female,144772,Social Media,Conversion,6899.78,0.01,0.15,21,4.66,10.37,65,19,6,8,1094,1
10496,61,Female,55732,Email,Consideration,769.59,0.25,0.16,28,3.16,7.91,49,3,9,0,2908,1
12726,40,Female,114400,SEO,Conversion,3581.65,0.13,0.03,0,9.26,2.26,83,0,0,0,2519,0
13822,69,Male,115001,SEO,Conversion,2755.95,0.09,0.08,32,3.0,13.72,57,1,3,8,136,1
12870,22,Female,61420,Referral,Retention,2737.54,0.02,0.12,3,2.8,1.87,98,13,8,0,1961,0
10617,40,Male,55765,Social Media,Consideration,1308.85,0.21,0.08,16,9.26,11.61,83,6,1,4,2264,1
13683,20,Female,62995,SEO,Conversion,7027.96,0.26,0.1,36,5.09,0.72,68,2,9,3,3533,1
13715,48,Male,55776,Referral,Retention,1865.34,0.18,0.07,37,3.47,5.09,47,7,9,6,1213,1
8640,36,Female,78609,Social Media,Conversion,1188.35,0.19,0.12,9,1.18,8.57,82,15,9,9,4530,1
15365,53,Female,103114,PPC,Consideration,8098.4,0.2,0.1,13,4.26,12.16,8,6,7,9,3171,1
11466,28,Male,26103,Social Media,Awareness,3927.63,0.19,0.13,17,3.04,2.46,61,8,7,8,3838,1
15648,54,Female,64935,PPC,Conversion,9431.04,0.13,0.11,45,7.63,2.79,76,14,3,5,1426,0
8922,33,Female,98412,PPC,Awareness,2249.44,0.13,0.12,27,5.32,14.94,87,2,1,7,1512,1
10266,19,Male,74453,PPC,Retention,3898.8,0.3,0.08,6,3.27,11.85,14,16,0,2,1117,1
9560,60,Female,48859,Social Media,Conversion,6176.66,0.29,0.04,34,5.48,7.12,13,7,3,5,4439,1
14253,27,Female,124300,PPC,Consideration,4596.52,0.17,0.18,12,1.82,10.82,82,0,3,2,4281,1
15407,39,Female,146056,PPC,Consideration,407.84,0.21,0.11,7,5.28,1.58,72,19,0,3,4710,0
12479,49,Male,45165,Email,Awareness,7385.44,0.09,0.01,12,3.26,5.06,87,4,2,6,4688,1
8152,32,Female,37536,SEO,Retention,3591.18,0.2,0.04,34,1.87,9.38,48,3,8,5,2692,1
14403,46,Female,53512,Social Media,Awareness,4289.78,0.25,0.11,7,1.89,1.72,19,11,3,2,1003,1
13248,68,Male,85125,SEO,Consideration,3793.32,0.14,0.18,29,2.75,13.41,82,17,7,8,1515,1
9088,43,Male,69050,Social Media,Awareness,9222.89,0.15,0.13,34,4.85,10.02,47,19,8,8,4146,1
15161,68,Female,40077,SEO,Awareness,1377.22,0.26,0.06,41,6.3,6.57,78,2,4,4,1049,1
9890,58,Male,58769,PPC,Consideration,6359.04,0.23,0.12,23,9.28,11.16,84,0,7,3,296,1
15758,63,Male,44715,Email,Conversion,2380.1,0.16,0.03,22,5.32,1.28,78,18,5,5,1980,1
9551,39,Female,138258,Email,Conversion,3982.23,0.17,0.15,30,9.85,1.16,20,19,2,9,243,1
9500,38,Female,83652,SEO,Consideration,3714.01,0.06,0.14,23,7.26,13.47,87,0,9,0,4827,1
15185,39,Male,65765,Social Media,Conversion,5820.08,0.27,0.13,13,5.04,1.47,82,2,2,3,2770,1
12742,38,Female,25193,Social Media,Consideration,6492.46,0.22,0.12,13,7.84,5.42,11,19,1,1,4392,1
12388,33,Male,86988,SEO,Consideration,1454.34,0.15,0.09,37,4.65,2.64,29,9,3,8,1940,1
12617,21,Female,36163,Email,Awareness,4774.58,0.11,0.1,21,7.23,5.26,39,4,3,8,1207,1
14299,23,Female,86156,Referral,Conversion,3737.92,0.11,0.06,26,7.47,11.9,22,12,3,3,1013,1
13857,30,Male,103299,Email,Awareness,3680.25,0.01,0.11,43,7.44,7.84,63,10,4,1,3520,1
14007,51,Female,114203,PPC,Conversion,869.36,0.13,0.11,31,9.08,5.11,36,3,6,4,1857,1
13563,44,Male,63086,Email,Conversion,4577.02,0.16,0.15,21,2.22,5.43,71,12,6,4,827,1
11309,66,Female,55607,Referral,Retention,2596.31,0.24,0.19,45,4.1,1.13,30,14,0,5,3352,1
10890,32,Female,87799,Email,Conversion,6428.7,0.15,0.13,40,6.45,10.74,64,0,0,0,4888,1
9805,22,Female,74203,Email,Retention,2879.24,0.02,0.13,36,6.29,8.35,18,13,3,3,1382,1
8948,18,Male,28951,Referral,Conversion,366.35,0.07,0.02,17,4.73,1.83,44,4,6,3,1747,1
9064,41,Male,91839,PPC,Awareness,4733.21,0.05,0.09,7,3.87,8.95,56,12,9,6,4418,1
9973,18,Male,133097,Email,Conversion,3942.71,0.22,0.14,4,2.21,13.6,71,13,3,3,4184,1
11100,54,Male,95082,Referral,Conversion,7378.07,0.2,0.04,8,2.3,6.98,88,8,4,3,978,1
8070,23,Male,34781,Referral,Consideration,997.52,0.06,0.08,14,1.6,14.81,47,16,4,3,1328,1
11934,34,Male,34932,SEO,Awareness,7507.26,0.09,0.09,22,8.0,12.98,1,1,8,4,3413,1
10321,60,Female,102897,Referral,Retention,1322.06,0.28,0.08,6,3.19,3.25,81,17,0,3,596,0
15596,22,Female,84566,SEO,Conversion,4956.38,0.21,0.12,7,9.8,4.7,70,13,9,0,1272,0
10514,33,Female,87238,Social Media,Consideration,6358.44,0.19,0.05,22,4.64,7.53,25,18,8,0,4292,1
14057,32,Female,94828,Email,Conversion,5088.44,0.12,0.02,28,7.89,6.99,68,14,2,5,3193,1
14746,37,Female,131841,PPC,Awareness,9050.22,0.05,0.16,25,5.85,13.58,11,8,6,9,3364,1
14773,43,Male,70649,Social Media,Awareness,1060.66,0.1,0.15,20,7.52,5.05,13,14,3,8,1588,1
9105,60,Male,139206,Social Media,Conversion,8994.39,0.08,0.05,37,7.32,5.61,24,8,3,6,2177,1
8867,47,Female,62987,Social Media,Awareness,5926.57,0.22,0.12,16,4.28,4.52,65,8,7,1,3338,1
10182,20,Male,105172,Referral,Consideration,4188.37,0.11,0.04,49,6.6,6.67,84,8,8,2,4450,1
8227,66,Male,102318,PPC,Retention,8207.87,0.23,0.03,0,4.15,13.39,93,19,0,3,783,1
11440,51,Female,117208,Email,Retention,7563.32,0.18,0.16,22,3.61,1.08,84,19,1,4,4944,1
11870,18,Male,58692,Referral,Retention,4337.02,0.08,0.16,12,4.58,14.84,92,13,3,6,503,1
12714,39,Male,72365,Referral,Awareness,9536.99,0.25,0.05,21,4.11,14.35,7,0,5,3,238,1
13075,25,Female,102331,Email,Consideration,2844.71,0.13,0.13,25,7.73,9.75,51,11,4,0,3855,1
13566,28,Male,101144,Social Media,Awareness,4637.9,0.24,0.03,36,9.28,5.83,44,2,6,8,349,1
8803,62,Male,122760,Social Media,Conversion,2859.95,0.27,0.12,32,4.26,6.92,82,13,1,0,784,1
9387,56,Female,71044,Social Media,Conversion,6309.4,0.07,0.07,16,3.08,6.74,42,11,3,2,1747,1
